,year,month,time,CGR,tmp_cru,pre_cru,pre_gpcc,tws_grace,nina34,nina3,nina4,eruption
2010-03-01,2010,3,2010-03-01,0.31533203735785675,0.2623044821713238,-2.760900544713688,-5.5698528578877475,0.6531928378110536,0.9028403943304255,0.8629779950300406,0.6209342411420778,0
2010-04-01,2010,4,2010-04-01,1.545416413035737,0.2917341996839337,-2.613041235591207,-5.64259671348171,-1.0175531538651077,0.9635261384101624,0.8992137050790872,0.6835953788186643,0
2010-05-01,2010,5,2010-05-01,1.4124708989575185,0.3280766510945747,-2.3120634565173623,-5.572105836188352,-2.3372230016620152,0.9400502905153745,0.8604632589307287,0.6921119601400527,0
2010-06-01,2010,6,2010-06-01,1.0450524537982313,0.3330401287928661,-1.7961192258746874,-4.755145439749034,-3.3907486462489533,0.8565700120155183,0.754198852452694,0.6506073057791976,0
2010-07-01,2010,7,2010-07-01,-0.04639580257409337,0.3290456677707159,-0.11273983552363298,-3.236533615408368,-3.9543181570278456,0.7272614464271877,0.6121149672608244,0.5599580539895882,0
2010-08-01,2010,8,2010-08-01,0.11868290770881562,0.29034591103363483,1.1534402362976706,-1.270679469268137,-3.6837422374376496,0.5646151308198838,0.4500171265691878,0.41845424881224236,0
2010-09-01,2010,9,2010-09-01,-0.24873983506783115,0.26813387506942843,3.118431100054984,0.442160556497174,-2.9310852290459595,0.3744691311460926,0.27708590848562964,0.25028420010915253,0
2010-10-01,2010,10,2010-10-01,1.2584077354591021,0.2605438922578565,3.720595864737138,2.1602901288661256,-2.253364528147454,0.15932814001036089,0.08833523037348032,0.0388028306072479,0
2010-11-01,2010,11,2010-11-01,0.9335821193797587,0.2582243824006976,5.090605471202831,4.087604264584417,-1.3501243797047913,-0.0991505770373707,-0.12876272543471537,-0.18769973352351707,0
2010-12-01,2010,12,2010-12-01,0.3320269011942918,0.22627892075957712,5.229638787605151,5.024403428018035,-0.1836885983541281,-0.3776243085967812,-0.36501346208282925,-0.40751365392879174,0
2011-01-01,2011,1,2011-01-01,0.816598396672247,0.16524927883696838,5.700788801085531,6.198363810522893,0.9958150143917077,-0.6327690829228898,-0.5596114680118692,-0.6181820856837812,0
2011-02-01,2011,2,2011-02-01,-1.2122315798577938,0.09272778515223862,7.078038825493645,7.831302965855074,2.8268322658072247,-0.829580217163179,-0.6975428253359163,-0.7796834523646852,0
2011-03-01,2011,3,2011-03-01,-1.6643470192664753,0.027601863953533423,8.63454395548058,10.395230636898415,5.625227185289793,-0.9822104424942845,-0.8045991169691902,-0.9102864996192097,0
2011-04-01,2011,4,2011-04-01,-3.0754798041345506,-0.029422090466136364,8.543437773903038,10.763104631407126,8.398214355970541,-1.078187667308623,-0.8550304971939299,-1.0142871242630411,0
2011-05-01,2011,5,2011-05-01,-2.1647419736842934,-0.07954842494901579,8.828703614861665,11.104839175666598,10.759287553490807,-1.1033266339616916,-0.8654479688362897,-1.0707658612307465,0
2011-06-01,2011,6,2011-06-01,-1.3819776775706891,-0.0963082370978072,8.609847059810535,10.954327263228208,12.521373808026283,-1.0776366113516247,-0.8167126942794278,-1.088099077946914,0
2011-07-01,2011,7,2011-07-01,0.1890573172802279,-0.09390251794124274,7.174331136622548,9.455562242450554,13.610675177959054,-1.0244416918587131,-0.7496301734139812,-1.0629104452680234,0
2011-08-01,2011,8,2011-08-01,-0.9238813297420723,-0.09013726171829384,6.556716839547116,8.434860366703179,13.925655680262086,-0.9629177755052301,-0.6875615703427331,-1.0119096182150265,0
2011-09-01,2011,9,2011-09-01,0.05057851687485315,-0.0991249236998307,5.347380761881545,7.558898515376258,14.14534044539491,-0.8963935837820574,-0.6313263018389913,-0.9559084433516655,0
2011-10-01,2011,10,2011-10-01,-0.9982908149128702,-0.12400431372956025,5.5963657100533934,6.99650203748717,14.680267829150262,-0.8431978739878959,-0.5967437850131846,-0.8973854789271782,0
2011-11-01,2011,11,2011-11-01,-1.3231339547551755,-0.15844431144005347,5.288507242194615,6.1887914671918915,15.105333116114064,-0.8058398285634242,-0.5638418524662052,-0.8405503149828463,0
2011-12-01,2011,12,2011-12-01,-0.3485061917239116,-0.18532796096037688,5.337890131247203,5.921072041068752,15.490229300126998,-0.760976963535437,-0.5159260060287916,-0.804526735466285,0
2012-01-01,2012,1,2012-01-01,-0.907652350471589,-0.19270262061465682,5.044342524180222,5.517072302637793,15.536036467924486,-0.7052850964653022,-0.45885741275957215,-0.7735242903490878,0
2012-02-01,2012,2,2012-02-01,-0.5296000572955213,-0.18461660613069455,4.58245846451297,4.59719404021133,15.281431777374308,-0.6687596614374937,-0.4109554915034784,-0.762521549893624,0
2012-03-01,2012,3,2012-03-01,-0.9606041610949161,-0.19187901169015992,3.6507397859698183,3.480885427964499,14.34054179488932,-0.6422249108893895,-0.36552574386177245,-0.759809052067927,0
2012-04-01,2012,4,2012-04-01,1.4835451070550623,-0.18238765647737118,3.152149033375736,2.966783303766441,12.871265241250072,-0.6198657164144226,-0.3401238390632936,-0.7479724411045159,0
2012-05-01,2012,5,2012-05-01,0.5837654766272247,-0.1746583909262046,2.8394842858187292,3.1387510058164354,11.650273490263467,-0.6033351179684802,-0.3088746955113185,-0.7444475171615799,0
2012-06-01,2012,6,2012-06-01,-0.6143883706686328,-0.18074601871612653,1.9775474941765236,2.7106755138404104,10.594638310437455,-0.5701421973788271,-0.2626394842220114,-0.735110409273934,0
2012-07-01,2012,7,2012-07-01,-0.8751710339799661,-0.2102979959960637,1.4960910747533798,3.2142259464168346,9.933439832594864,-0.5136112395798937,-0.19889037225622827,-0.717418362870071,0
2012-08-01,2012,8,2012-08-01,0.014071966504590971,-0.22086610404656487,1.1159088676554163,3.1462252601720615,9.632416418383329,-0.4204179697688276,-0.12348853311978226,-0.6589141440033393,0
2012-09-01,2012,9,2012-09-01,-0.4598866495828775,-0.2170058653444295,0.7137379725063059,2.9008854705162133,9.07885253452407,-0.3222245399493744,-0.044753385366485446,-0.578743053749047,0
